condition_id,generation,population_size,distinctness,data_regime,distinct_2,distinct_3,token_entropy,self_bleu,embedding_similarity_mean,embedding_similarity_std,mean_length_tokens,truth_margin_mean,truth_binary_mean,best_answer_bonus_mean,individuality_ratio_proxy,distinct_2_g0,token_entropy_g0,truth_binary_mean_g0,embedding_similarity_mean_g0,collapse_score
p1_homogeneous_accumulation,0,1,homogeneous,accumulation,0.9358517462580185,0.9928109273903667,8.849315784013566,0.0179817360874994,0.15792280182980345,0.17938652279230427,117.91666666666667,0.02872407643057867,0.6666666666666666,0.08333333333333333,0.9294418721599016,0.9358517462580185,8.849315784013566,0.6666666666666666,0.15792280182980345,0.0
p1_homogeneous_accumulation,1,1,homogeneous,accumulation,0.9302491103202847,0.9856424982053122,8.910103366367753,0.027031421575789263,0.15372147924545845,0.16459347402414634,118.08333333333333,-0.007400750173308792,0.5,0.0,0.9294418721599016,0.9358517462580185,8.849315784013566,0.6666666666666666,0.15792280182980345,0.16123364324171346
p1_homogeneous_accumulation,2,1,homogeneous,accumulation,0.9451263537906137,0.9905316824471959,8.892147188940559,0.018053362980030043,0.15255293242153123,0.13682935936330196,116.41666666666667,0.010640020623125196,0.75,0.0,0.9294418721599016,0.9358517462580185,8.849315784013566,0.6666666666666666,0.15792280182980345,-0.10279333730495203
p1_homogeneous_accumulation,3,1,homogeneous,accumulation,0.909479686386315,0.97411933860532,8.79618467549022,0.06503958179437029,0.20175391905815662,0.16812512929270623,117.91666666666667,0.013068657563975745,0.75,0.0,0.9294418721599016,0.9358517462580185,8.849315784013566,0.6666666666666666,0.15792280182980345,-0.0071566354089177345
p1_homogeneous_replacement,0,1,homogeneous,replacement,0.9321203638908327,0.9894142554693014,8.970129589655787,0.025240820781769393,0.15799450720165537,0.1775770919843676,120.08333333333333,0.04178427388889941,0.8333333333333334,0.0,0.9294418721599016,0.9321203638908327,8.970129589655787,0.8333333333333334,0.15799450720165537,0.0
p1_homogeneous_replacement,1,1,homogeneous,replacement,0.9217264081931237,0.9734317343173432,8.867874106959702,0.05756839141813311,0.1639118264447243,0.174584098522551,114.91666666666667,-0.004864571959120199,0.5,0.0,0.9294418721599016,0.9321203638908327,8.970129589655787,0.8333333333333334,0.15799450720165537,0.3611411735118112
p1_homogeneous_replacement,2,1,homogeneous,replacement,0.9245147375988497,0.977519941986947,8.902848153424797,0.04869659287592868,0.16667887576141843,0.14660017172156614,116.91666666666667,0.00796427078674363,0.75,0.0,0.9294418721599016,0.9321203638908327,8.970129589655787,0.8333333333333334,0.15799450720165537,0.10718776776837952
p1_homogeneous_replacement,3,1,homogeneous,replacement,0.9393501805054152,0.989075018208303,8.962225017153095,0.027393640498272268,0.19795416106139152,0.15463136406624084,116.41666666666667,0.010169119178954793,0.6666666666666666,0.0,0.9294418721599016,0.9321203638908327,8.970129589655787,0.8333333333333334,0.15799450720165537,0.20028521355415252
p2_homogeneous_replacement,0,2,homogeneous,replacement,0.9337748344370861,0.9881217520415738,8.877413454409943,0.028996963062353248,0.15869504820921607,0.18058014639103834,114.25,0.04190216850370246,0.9166666666666666,0.0,0.9294418721599016,0.9337748344370861,8.877413454409943,0.9166666666666666,0.15869504820921607,0.0
p2_homogeneous_replacement,1,2,homogeneous,replacement,0.9345070422535211,0.9872159090909091,8.929804383368019,0.03185492486833644,0.15087059733678806,0.16760345127543788,119.33333333333333,-0.007288052991036149,0.5,0.0,0.9294418721599016,0.9337748344370861,8.877413454409943,0.9166666666666666,0.15869504820921607,0.4022197054067389
p2_homogeneous_replacement,2,2,homogeneous,replacement,0.9332355099046221,0.9881569207994079,8.885907683748847,0.026514113452002285,0.16412464610026647,0.14422097274315032,114.58333333333333,0.009838289735240192,0.6666666666666666,0.0,0.9294418721599016,0.9337748344370861,8.877413454409943,0.9166666666666666,0.15869504820921607,0.25501391777081583
p2_homogeneous_replacement,3,2,homogeneous,replacement,0.9351510685335298,0.9881040892193309,8.835227913957393,0.029894940911611486,0.19423754635880253,0.1570393478022555,114.08333333333333,0.014938078983882384,0.75,0.0,0.9294418721599016,0.9337748344370861,8.877413454409943,0.9166666666666666,0.15869504820921607,0.2055758433256968
p4_homogeneous_replacement,0,4,homogeneous,replacement,0.9432153392330384,0.9888392857142857,8.883605026628988,0.021241045576504577,0.1579829083075251,0.18234902458127,114.0,0.03354961385825183,0.75,0.0,0.9294418721599016,0.9432153392330384,8.883605026628988,0.75,0.1579829083075251,0.0
p4_homogeneous_replacement,1,4,homogeneous,replacement,0.8899280575539569,0.9462989840348331,8.755282798981561,0.0880241967035108,0.16242008429318666,0.1700680207250409,116.83333333333333,-0.004585941651087923,0.5,0.0,0.9294418721599016,0.9432153392330384,8.883605026628988,0.75,0.1579829083075251,0.32215170227499307
p4_homogeneous_replacement,2,4,homogeneous,replacement,0.9011913104414856,0.9575971731448764,8.76808251314854,0.04974331883265428,0.17110603205845518,0.1512195929393154,119.91666666666667,0.011527528187162614,0.75,0.0,0.9294418721599016,0.9432153392330384,8.883605026628988,0.75,0.1579829083075251,0.06813532762741517
p4_homogeneous_replacement,3,4,homogeneous,replacement,0.9040511727078892,0.9591397849462365,8.832353107227934,0.07949313301952092,0.21537353469187825,0.16482057905084085,118.25,0.01625637031699109,0.8333333333333334,0.0,0.9294418721599016,0.9432153392330384,8.883605026628988,0.75,0.1579829083075251,0.01898370351083191
p4_role_diverse_accumulation,0,4,role_diverse,accumulation,0.9274861878453039,0.979108635097493,8.892466704390586,0.03957038669560408,0.15429962153531454,0.17667931643962914,121.66666666666667,0.042603733109841536,0.9166666666666666,0.0,1.1872734837824692,0.9274861878453039,8.892466704390586,0.9166666666666666,0.15429962153531454,0.0
p4_role_diverse_accumulation,1,4,role_diverse,accumulation,0.926744989633725,0.9825783972125436,8.86508726186771,0.039897074259658646,0.14260790103991702,0.16780330547069042,121.58333333333333,-0.007376227079064265,0.5,0.0,1.1872734837824692,0.9274861878453039,8.892466704390586,0.9166666666666666,0.15429962153531454,0.4087944101035392
p4_role_diverse_accumulation,2,4,role_diverse,accumulation,0.9346768589298123,0.9887876664330764,8.831292685028503,0.030280561048376124,0.1696443054162026,0.13463305235498488,120.91666666666667,0.009182585765840029,0.6666666666666666,0.0,1.1872734837824692,0.9274861878453039,8.892466704390586,0.9166666666666666,0.15429962153531454,0.2650317966169182
p4_role_diverse_accumulation,3,4,role_diverse,accumulation,0.9192982456140351,0.9815994338287332,8.85396223338228,0.046761918091719014,0.20649973137943314,0.16298544220805405,119.75,0.012221105502622958,0.6666666666666666,0.0,1.1872734837824692,0.9274861878453039,8.892466704390586,0.9166666666666666,0.15429962153531454,0.3147171027161807
p4_role_diverse_replacement,0,4,role_diverse,replacement,0.9358885017421603,0.9908643710470836,8.893695341009101,0.019045298275412716,0.16812198267953526,0.1672740327835497,120.58333333333333,0.03858325379070112,0.8333333333333334,0.0,1.1872734837824692,0.9358885017421603,8.893695341009101,0.8333333333333334,0.16812198267953526,0.0
